Name,AUID,Coords,Const,Type,Period,Mag
UX Ant,000-BCT-560,10 57 09.06 -37 23 55.1,Ant,RCB,--,11.85 - <18.0 V
S Aps,000-BBV-897,15 09 24.54 -72 03 45.2,Aps,RCB,66.03,9.54 - 17.0 V
U Aqr,000-BCP-856,22 03 19.70 -16 37 35.3,Aqr,RCB,37.5,10.8 - 18.2: V
ES Aql,000-BCH-031,19 32 21.61 -00 11 31.0,Aql,RCB,--,11.5 - <17.7 V
PT Aql,000-BDD-786,19 53 43.15 +14 41 09.4,Aql,RCB,--,12.9 - <19.5 V
V1792 Aql,--,19 08 13.14 +04 21 54.1,Aql,RCB,--,13.9 - <20.7 r
ASASSN-V J191243.07+055313.1,000-BMV-174,19 12 43.04 +05 53 13.1,Aql,RCB,--,14.6 - 17.6: V
Gaia21flu,000-BPF-956,19 28 53.28 +14 32 25.3,Aql,RCB,--,18.6 - 24.4: r G
GDS_J1855255-025145,000-BMV-175,18 55 25.53 -02 51 45.7,Aql,RCB,--,14.3 (5.8)r V
IRAS 18575-0207,000-BKT-290,19 00 09.44 -02 02 57.9,Aql,RCB,--,13.8 - <17.2 V
NSV 11664,000-BKS-392,19 01 33.68 +14 56 09.6,Aql,RCB,--,13.3 - <14.5 V
NSVS 13967171,000-BKT-289,18 58 41.81 -02 20 11.3,Aql,RCB,--,17.426 (6.2) r
WISE-ToI-281,000-BPK-116,19 23 49.00 +16 14 33.8,Aql,RCB,--,18.1 - <23 r
V0943 Ara,000-BKN-701,17 01 01.41 -50 15 34.9,Ara,RCB,63.8,11.7 - <16.0 V
ASAS J164124-5147.8,000-BHJ-177,16 41 24.75 -51 47 43.4,Ara,RCB,102.6,11.7 - <18.1 V
ASAS J165444-4925.9,000-BHJ-786,16 54 43.61 -49 25 55.4,Ara,RCB,27.8,11.7 - <13.8 V
GDS_J1647046-470818,--,16 47 04.67 -47 08 17.8,Ara,RCB,--,16.10 (3.28) r
ASASSN-V J053213.93+340601.4,000-BMT-362,05 32 13.92 +34 06 01.5,Aur,RCB,--,14.4 - <17.2 V
Gaia DR3 5239401196775855616,--,10 48 59.82 -65 56 13.7,Car,RCB,--,14.61 - 17.89 G
Gaia DR3 5255601809101588096,--,10 26 15.98 -58 20 37.7,Car,RCB,--,14.65 - 19.32 G
WISE J110008.77-600303.6,--,11 00 08.77 -60 03 03.7,Car,RCB,--,15.7 - <17.6 R
UV Cas,000-BCR-120,23 02 14.66 +59 36 36.7,Cas,RCB,--,11.8 - 16.5 p
V0671 Cas,000-BDK-033,02 23 22.57 +59 38 00.9,Cas,RCB,--,16.8 - <19.8 r
2MASS J00482232+7417574,000-BKS-394,00 48 22.32 +74 17 57.4,Cas,RCB,--,14.0 - <18.4 V
MASTER OT J011613.54+640832.0,000-BLD-402,01 16 13.54 +64 08 32.0,Cas,RCB,--,14.1 - <16.2 CR
NSVS J0051273+645649,000-BKS-450,00 51 28.08 +64 56 51.7,Cas,RCB,29.8,13.2 - 15.0: V
UW Cen,000-BCV-271,12 43 17.19 -54 31 40.8,Cen,RCB,71.4,9.1 - 17.8 V
DY Cen,000-BCV-291,13 25 34.08 -54 14 43.1,Cen,RCB,--,12.0 - <16.4 p
V0854 Cen,000-BCV-353,14 34 49.41 -39 33 19.3,Cen,RCB,--,6.84 - 15.11 V
GDS_J1501045-563325,000-BQD-999,15 01 04.50 -56 33 25.3,Cir,RCB,--,15.47 (1.11) i
V CrA,000-BCV-507,18 47 32.31 -38 09 32.4,CrA,RCB,--,9.4 - 17.9 V
WX CrA,000-BCV-516,18 08 50.49 -37 19 43.2,CrA,RCB,89.7,10.25 - <15.2 V
V0581 CrA,000-BDB-831,18 24 43.47 -45 24 43.8,CrA,RCB,--,9.97 - <15.2 V
ASASSN-V J183900.17-405428.9,000-BNG-923,18 39 00.17 -40 54 28.9,CrA,RCB,--,13.1 - <20.4 G
R CrB,000-BBW-575,15 48 34.42 +28 09 24.3,CrB,RCB,48.6,5.61 - 15.1 V
V0482 Cyg,000-BCK-056,19 59 42.57 +33 59 27.9,Cyg,RCB,--,10.65 - 15.9 V
HAT 199-06241,000-BPM-357,19 39 35.49 +34 34 47.2,Cyg,RCB,40:00:00,11.6 - 14.4 p
ASASSN-V J053745.71-635330.9,000-BMV-178,05 37 45.72 -63 53 30.8,Dor,RCB,--,15.7 - <17.6 V
EROS2-LMC-RCB-2,000-BLG-677,05 10 28.53 -69 47 04.5,Dor,RCB,42.723,14.483 (3.88)R V
EROS2-LMC-RCB-3,000-BLN-402,04 59 35.83 -68 24 44.8,Dor,RCB,39.216,14.333 (4.65)R V
